B cell	ENSG00000104112.9,ENSG00000134532.20
Endothelial cell	ENSG00000184113.10,ENSG00000169908.12
Endothelial cell of vascular tree	ENSG00000127022.16,ENSG00000185651.16
Fibroblast	ENSG00000168542.18,ENSG00000145824.13
Keratinocyte	ENSG00000111057.11,ENSG00000189334.9
Melanocyte	ENSG00000164032.12,ENSG00000137285.11
Memory B cell	ENSG00000198668.14,ENSG00000213722.10
Merkel cell	ENSG00000125821.13,ENSG00000170091.11
Merkel cell carcinoma tumor cell	ENSG00000134532.20,ENSG00000186487.21
Natural killer cell	ENSG00000066294.15,ENSG00000254521.7
Neoplastic cell	ENSG00000166165.14,ENSG00000160307.10
Pericyte	ENSG00000175899.15,ENSG00000183807.8
Smooth muscle cell	ENSG00000121361.5,ENSG00000149591.17
