AEC	MECOM
Cycling DC2	H4C3
Early_Erythroid	PCLAF
Endoderm	AKR1D1
Eo_Baso_Mast_precursor	HMGA1
Eo_Basophil	LYVE1
Erythroid	FAM210B
Fibroblast	IGFBP3
Immature_EC	NPDC1
MEMP	RAN
MK	GP9
MOP	LST1
Mac DC2	CD83
Macrophage	CD163
Mast_cell	CNRIP1
Mesothelium	CLDN15
Microglia	VSIG4
Mono Mac pre DC2	PSME2
Monocyte_0	AQP9
Monocyte_Macrophage	CTSH
Monocyte_ys_1	C1orf162
Neutrophil_precursor	MT-TD
Pre DC2	C1QB
Prolif_AEC	CALCRL
Prolif_Sinusoidal_EC	PCAT19
Promonocyte	TMIGD3
Sinusoidal_EC	ARHGAP29
Smooth_Muscle	GPX8
VWF_EC	CPE
