B cell DEGs	ENSG00000176533.13,ENSG00000177455.15
Basophil DEGs	ENSG00000179348.13,ENSG00000026025.16
Cholangiocyte DEGs	ENSG00000142089.17,ENSG00000164111.15
Endothelial DEGs	ENSG00000164035.10,ENSG00000162618.15
Fibroblast DEGs	ENSG00000067113.17,ENSG00000106333.13
Macrophage DEGs	ENSG00000108309.14,ENSG00000134321.13
Mig. cDC DEGs	ENSG00000128322.7,ENSG00000110848.8
Monocyte DEGs	ENSG00000158874.11,ENSG00000101439.9
Neutrophil DEGs	ENSG00000042062.13,ENSG00000133069.17
Plasma cell DEGs	ENSG00000196154.12,ENSG00000168754.15
Res. NK cell DEGs	ENSG00000146670.10,ENSG00000060688.13
T cell DEGs	ENSG00000172543.9,ENSG00000081237.21
cDC1 DEGs	ENSG00000104894.12,ENSG00000223865.12
cDC2 DEGs	ENSG00000170476.16,ENSG00000169575.5
pDC DEGs	ENSG00000145287.11,ENSG00000128322.7
