AXL+, SIGLEC6+ dendritic cell	XAGE3
B cell	AFF3
CD14-low, CD16-positive monocyte	MS4A4A
CD14-positive monocyte	LRRK2
CD141+ CLEC9a+ dendritic cell	C1QTNF6
CD1C-, CD141- dendritic cell	MGP
Circulating fetal cell	CRABP2
Circulating tumor cell	ASS1
Dendritic cell	IFI16
Effector memory CD4-positive, alpha-beta T cell	PDIA3
Effector memory CD8-positive, alpha-beta T cell	S100P
Erythrocyte	SLC4A1
Fibroblast	EFEMP2
Lymphocyte	UBE2C
Macrophage	GNG7
Myeloid cell	PILRA
Naive thymus-derived CD8-positive, alpha-beta T cell	CD24
Natural killer cell	ZAP70
Neoplastic cell	HTRA4
Plasmacytoid dendritic cell	LINC01551
Platelet	ENSG00000254919.1
Regulatory T cell	KRT18
T cell	LCK
