Adult endothelial progenitor cell	ENSG00000232682.2
B cell	IGLC2
CD8-positive, alpha-beta T cell	CD8B
Dendritic cell	IFITM3
Dendritic cell, human	TYROBP
Effector memory CD8-positive, alpha-beta T cell	CD69
Erythrocyte	KRT1
Erythroid lineage cell	LGALS3
Mature conventional dendritic cell	RPL35
Monocyte	CLEC7A
Naive thymus-derived CD8-positive, alpha-beta T cell	JUNB
Natural killer cell	GZMH
Neutrophil	CTSG
Plasma cell	MZB1
Plasmablast	XBP1
Plasmacytoid dendritic cell	SERPINF1
Pro-T cell	RPS15A
Progenitor cell	SPINK2
