Adult endothelial progenitor cell	GSTP1
B cell	BCL11A
Bone marrow macrophage	UQCRB
CD8-positive, alpha-beta T cell	CD8B
Cytotoxic T cell	MT-ND2
Dendritic cell, human	FCER1G
Erythrocyte	DPM2
Erythroid lineage cell	TMCC2
Leukemia stem cell	MALAT1
Leukemic cell	CD3D
Macrophage	FCGR3A
Monocyte	MNDA
Myeloid cell	RPL39
Naive thymus-derived CD8-positive, alpha-beta T cell	TCF7
Natural killer cell	PRF1
Neutrophil	PRSS57
Non-classical monocyte	RPS17
Plasma cell	ITM2C
Plasmacytoid dendritic cell	SERPINF1
Pro-T cell	CD5
Progenitor cell	SPINK2
T cell	CD3E
