Age-associated B cell	ENSG00000286480.1
B cell	CD79B
CD8-positive, alpha-beta T cell	CD8B
Dendritic cell, human	HLA-DRB1
Effector memory CD8-positive, alpha-beta T cell	GNLY
Erythrocyte	MPP1
Erythroid lineage cell	RHAG
Leukemia stem cell	LTB
Macrophage	STXBP2
Macrophage dendritic cell progenitor	AIF1
Mature conventional dendritic cell	SARAF
Monocyte	CLEC7A
Naive B cell	ENSG00000228005.1
Naive T cell	MALAT1
Naive thymus-derived CD8-positive, alpha-beta T cell	SELL
Natural killer cell	GZMH
Neutrophil	CLEC11A
Plasma cell	MZB1
Plasmacytoid dendritic cell	SERPINF1
Progenitor cell	SPINK2
Small pre B cell	MT-CO3
T cell	LTB
