B cell	VPREB3
CD8-positive, alpha-beta T cell	CD8B
Cytotoxic T cell	DDX5
Dendritic cell, human	COTL1
Erythrocyte	KRT1
Erythroid lineage cell	RHAG
Exhausted T cell	ENSG00000258646.1
Hematopoietic cell	CD3D
Leukemia stem cell	CD47
Megakaryocyte	ATP5F1E
Mesenchymal stem cell	JUNB
Monocyte	TYMP
Naive thymus-derived CD8-positive, alpha-beta T cell	TCF7
Natural killer cell	HOPX
Neutrophil	RNASE2
Non-classical monocyte	SCGB1C2
Plasma cell	PDIA4
Plasmacytoid dendritic cell	PLD4
Progenitor cell	SPINK2
Regulatory T cell	ENSG00000227240.2
T cell	CD3E
