B cell	MS4A1
Bone marrow macrophage	RPS4X
CD8-positive, alpha-beta T cell	CD8B
Dendritic cell, human	LST1
Effector memory CD8-positive, alpha-beta T cell	CD69
Erythrocyte	NUDT4
Erythroid lineage cell	SLC2A1
Leukemic cell	CD3D
Mature conventional dendritic cell	COMMD6
Mesenchymal stem cell	JUNB
Monocyte	S100A11
Naive B cell	LINC-PINT
Naive thymus-derived CD8-positive, alpha-beta T cell	TCF7
Natural killer cell	FGFBP2
Neutrophil	AZU1
Plasmacytoid dendritic cell	SOX4
Pro-T cell	CD7
Progenitor cell	SPINK2
Small pre B cell	RPL27
T cell	JUNB
