B cell	TCL1A
CD14-low, CD16-positive monocyte	LST1
CD14-positive monocyte	AIF1
CD1C+ B dendritic cell	NAMPT
CD1C-, CD141- dendritic cell	LST1
Circulating fetal cell	KRT8P50
Circulating tumor cell	MT-ND4
Dendritic cell, human	FCER1A
Effector memory CD4-positive, alpha-beta T cell	CD52
Effector memory CD8-positive, alpha-beta T cell	C12orf75
Erythrocyte	PABPC1
Memory B cell	JUNB
Monocyte	MS4A6A
Myeloid cell	CEBPD
Naive T cell	LEF1
Naive thymus-derived CD4-positive, alpha-beta T cell	IL7R
Naive thymus-derived CD8-positive, alpha-beta T cell	CD3E
Natural killer cell	KLRD1
Plasmacytoid dendritic cell	IRF4
T cell	IL32
T-helper 17 cell	ENSG00000293167.1
