Alpha-beta T cell	TCL1A
B cell	LINC00926
CD14-low, CD16-positive monocyte	IFITM3
CD14-positive monocyte	CSTA
CD1C+ B dendritic cell	VCAN
CD1C-, CD141- dendritic cell	IFITM3
Central memory CD4-positive, alpha-beta T cell	LTB
Dendritic cell	CD1C
Dendritic cell, human	CD1C
Effector memory CD4-positive, alpha-beta T cell	IL32
Erythrocyte	PABPC1
Monocyte	S100A12
Myeloid cell	AIF1
Naive thymus-derived CD4-positive, alpha-beta T cell	LTB
Naive thymus-derived CD8-positive, alpha-beta T cell	LTB
Natural killer cell	GZMB
Neoplastic cell	HNRNPA2B1
Plasma cell	MZB1
Plasmacytoid dendritic cell	JCHAIN
Platelet	ENSG00000282828.2
Regulatory T cell	IL32
T cell	CD3E
