B cell	CD79A
CD14-low, CD16-positive monocyte	HLA-DPA1
CD14-positive monocyte	VCAN
CD1C+ B dendritic cell	CST3
Circulating fetal cell	JUN
Dendritic cell	HLA-DQB1
Effector memory CD4-positive, alpha-beta T cell	LTB
Effector memory CD8-positive, alpha-beta T cell	NKG7
Erythrocyte	MT-RNR1
Gamma-delta T cell	IGBP1P1
Memory B cell	TSC22D3
Monocyte	S100A9
Mucosal invariant T cell	KLRB1
Myeloid cell	CST3
Natural killer cell	CST7
Plasma cell	MZB1
Plasmacytoid dendritic cell	CD74
Tissue resident memory T cell	KLF6
