B cell	BANK1
CD14-low, CD16-positive monocyte	MS4A7
CD14-positive monocyte	MS4A6A
CD1C+ B dendritic cell	CSF3R
CD1C-, CD141- dendritic cell	IFITM3
Circulating fetal cell	FOSB
Dendritic cell, human	GSTP1
Effector memory CD4-positive, alpha-beta T cell	AQP3
Effector memory CD8-positive, alpha-beta T cell	NKG7
Erythrocyte	TAL1
Gamma-delta T cell	ENSG00000231355.1
Monocyte	VCAN
Myeloid cell	KLF4
Naive thymus-derived CD4-positive, alpha-beta T cell	IL7R
Natural killer cell	CCL4
Plasmacytoid dendritic cell	JCHAIN
