AXL+, SIGLEC6+ dendritic cell	MT-ND4L
Alpha-beta T cell	TEDC2
B cell	LINC00926
CD14-low, CD16-positive monocyte	FCER1G
CD14-positive monocyte	CXCL8
CD1C+ B dendritic cell	LGALS1
CD1C-, CD141- dendritic cell	CTSS
Circulating fetal cell	JUN
Dendritic cell	COTL1
Effector memory CD8-positive, alpha-beta T cell	GNLY
Endothelial cell	RTKN
Erythrocyte	EIF1
Monocyte	NEAT1
Myeloid cell	PSAP
Myeloid suppressor cell	MT-CYB
Naive thymus-derived CD4-positive, alpha-beta T cell	RPS25
Natural killer cell	CST7
Plasma cell	GAPDH
