B cell	HLA-DQA1
CD14-low, CD16-positive monocyte	LST1
CD14-positive monocyte	MNDA
CD1C+ B dendritic cell	FCN1
CD1C-, CD141- dendritic cell	LST1
Central memory CD4-positive, alpha-beta T cell	LTB
Dendritic cell	CD1C
Dendritic cell, human	CD1C
Effector memory CD4-positive, alpha-beta T cell	IL32
Effector memory CD8-positive, alpha-beta T cell	GZMB
Erythrocyte	UBA52P4
Hematopoietic multipotent progenitor cell	DDX18P5
Monocyte	S100A8
Myeloid cell	FCN1
Naive T cell	IL7R
Naive thymus-derived CD4-positive, alpha-beta T cell	LTB
Naive thymus-derived CD8-positive, alpha-beta T cell	LTB
Natural killer cell	KLRD1
Plasmacytoid dendritic cell	C12orf75
Platelet	CST3
Regulatory T cell	IL32
T cell	CD3E
T follicular helper cell	MT-ND3
