B cell	AFF3
CD14-low, CD16-positive monocyte	PELATON
CD14-positive monocyte	MPEG1
CD1C-, CD141- dendritic cell	SERPINA1
Central memory CD4-positive, alpha-beta T cell	NOSIP
Effector memory CD8-positive, alpha-beta T cell	PSMD13
Hematopoietic multipotent progenitor cell	ENSG00000293450.1
Monocyte	MS4A6A
Mucosal invariant T cell	MYH9-DT
Myeloid cell	FGL2
Naive thymus-derived CD4-positive, alpha-beta T cell	LDHB
Naive thymus-derived CD8-positive, alpha-beta T cell	LTB
Natural killer cell	CMC1
Plasmacytoid dendritic cell	BCL11A
Platelet	PGRMC1
T cell	CD3E
