AXL+, SIGLEC6+ dendritic cell	LINC01589
Alpha-beta T cell	Y_RNA
B cell	TCL1A
CD14-low, CD16-positive monocyte	SERPINA1
CD14-positive monocyte	MS4A6A
CD1C+ B dendritic cell	CSTA
CD1C-, CD141- dendritic cell	IFITM3
Circulating fetal cell	RPS3
Dendritic cell	CLEC10A
Effector memory CD4-positive, alpha-beta T cell	LTB
Erythrocyte	ALAS2
Megakaryocyte progenitor cell	ENSG00000250348.1
Myeloid cell	TNFSF13B
Naive thymus-derived CD4-positive, alpha-beta T cell	LTB
Natural killer cell	HOPX
Plasma cell	SUB1
Plasmacytoid dendritic cell	MZB1
Regulatory T cell	IL32
