B cell	TNFRSF13C
CD14-low, CD16-positive monocyte	FCGR3A
CD14-positive monocyte	CYBB
CD1C-, CD141- dendritic cell	AIF1
Cancer stem cell	MT-RNR2
Effector memory CD4-positive, alpha-beta T cell	CD3D
Effector memory CD8-positive, alpha-beta T cell	SPON2
Erythrocyte	HBM
Lymphocyte	BTN3A2
Macrophage	RNU6-118P
Monocyte	MTATP6P1
Mucosal invariant T cell	RPL27A
Myeloid cell	MNDA
Naive T cell	MALAT1
Naive thymus-derived CD4-positive, alpha-beta T cell	NOSIP
Naive thymus-derived CD8-positive, alpha-beta T cell	TCF7
Natural killer cell	GZMH
Plasmacytoid dendritic cell	IRF7
Platelet	FAXDC2
T cell	CD3G
