AT1	EMP2,KRT7
AT2	FMO5,PLA2G1B
Ciliated	SRGAP3-AS2,PRR29
Club	SLC25A39,SCGB3A2
DC Langerhans	HLA-DQB1,HLA-DQA1
Fibroblast	NNMT,ISLR
Goblet	AKR1C1,MUC5B
ILC A	AOAH,CD48
Lymphatic	TFF3,GNG11
Macrophage	PLAUR,CCL18
Macrophage Alveolar	CXCL3,ABCG1
Myofibroblast	FBLN5,NBL1
NK	ENSG00000280194.1,KIR2DS4
SMC	IGFBP6,HSPB6
T Regulatory	ENSG00000240535.8,TRARG1
VE Arterial	MMRN2,ABI3BP
VE Capillary A	PPFIBP1,TBX3
VE Capillary B	TSPAN7,SMAD6
VE Venous	IL33,MMRN2
cDC2	HLA-DMB,RGS1
cMonocyte	PLAUR,THBS1
ncMonocyte	MYO1F,SLC1A3
