AT1	GPRC5A,C4BPA,CLDN18,LMO7
AT2	PEBP4,MALL,PLA2G1B,ABCA3
B Plasma	ITM2C,CD38,IGLL5,TXNDC5
Basal	TACSTD2,BCAM,SERPINF1,PERP
Ciliated	MUC16,FAM229B,DNAH11,ERICH3
Club	SLC25A37,SCGB1A1,SFTPB,HBD
DC Langerhans	CTSS,HLA-DMA,AIF1,HLA-DQA2
Fibroblast	C1S,DCN,ADH1B,COL1A2
Goblet	LCN2,FOLR1,ALDH1A1,MUC5AC
ILC A	CD2,SYTL3,CD3D,PARP8
ILC B	BTG1-DT,IFITM1,NOP53,CYTIP
Lymphatic	RAMP2,CALCRL,PKHD1L1,AKAP12
Macrophage	SLC11A1,GPNMB,C1QA,OLR1
Macrophage Alveolar	CXCL16,MARCO,C1QA,FABP4
Mast	KIT,HPGDS,RGS1,MS4A2
Myofibroblast	LMCD1,PPP1R14A,GPC3,PLEKHH2
NK	LIMD2,KLRD1,GNLY,GZMH
Pericytes	BGN,COL6A2,COX4I2,PDGFRB
SMC	MYH11,SELENOM,IGFBP5,PRELP
T	CCL5,CD2,CAMK4,ITK
T Cytotoxic	CXCR4,CD7,CD2,FYN
T Regulatory	CORO1A,CD3E,CD2,CD3D
VE Arterial	SOX18,LIFR,LDB2,PIK3R3
VE Capillary A	TNFSF10,IGFBP4,SLCO2A1,CALCRL
VE Capillary B	TIMP3,EPAS1,CLDN5,FCN3
VE Peribronchial	CRIP2,NHERF2,CLEC3B,FAM107A
VE Venous	PLA1A,LIMS2,ECSCR,CTNNAL1
cDC1	HLA-DQB1,C1QC,FCER1G,FBP1
cDC2	CAPG,HLA-DQA2,APOE,MRC1
cMonocyte	VSIR,FGL2,FPR1,CFP
ncMonocyte	VSIR,MNDA,RGS2,FGL2
pDC	CORO1A,CD8A,CD2,CD3D
