B Plasma	ENSG00000163956.13
Basal	ENSG00000187244.12
Ciliated	ENSG00000163491.18
Goblet	ENSG00000167653.5
ILC A	ENSG00000172572.7
ILC B	ENSG00000272626.1
Lymphatic	ENSG00000187997.12
Mast	ENSG00000167644.12
Mesothelial	ENSG00000143556.9
Myofibroblast	ENSG00000149131.17
Pericytes	ENSG00000293208.1
SMC	ENSG00000107796.14
T	ENSG00000115738.10
T Cytotoxic	ENSG00000156976.17
VE Capillary A	ENSG00000155438.12
VE Capillary B	ENSG00000130584.12
VE Peribronchial	ENSG00000126214.22
cDC1	ENSG00000187862.13
cDC2	ENSG00000028137.19
pDC	ENSG00000173230.17
