B cell	CD22
CD14-low, CD16-positive monocyte	RNF144B
CD14-positive monocyte	FOLR3
CD141+ CLEC9a+ dendritic cell	PRDX5
CD1C+ B dendritic cell	LY86
CD1C-, CD141- dendritic cell	MAFB
Circulating tumor cell	MT-ATP6
Dendritic cell	ACAA1
Effector memory CD4-positive, alpha-beta T cell	TIMP1
Effector memory CD8-positive, alpha-beta T cell	PRSS23
Erythrocyte	IGLC2
Mucosal invariant T cell	CD69
Myeloid cell	PLXNB2
Naive T cell	ISG20
Naive thymus-derived CD4-positive, alpha-beta T cell	ABLIM1
Naive thymus-derived CD8-positive, alpha-beta T cell	CCR7
Natural killer cell	KLRC1
Plasma cell	CD74
Plasmacytoid dendritic cell	LRRC26
Platelet	GAS2L1
Regulatory T cell	IL32
T cell	CD3D
