Angioblast	ANGPT1
Astrocyte	S100B,TIMP3,MLC1,SPON1,EDNRB,CLU,SLC1A3,SLC1A2,ID4,GJA1,SPARCL1,AGT,GFAP,ADCYAP1R1,ALDOC,EZR,SOX9,ALDH1L1,AQP4,APOE
Border-associated macrophage	NRP1,PTPRC,FOLR2,MRC1,P2RX7,CLEC12A,CD63
Brain pericyte	RGS5,ANPEP,PDGFRB,COL3A1,MCAM,CSPG4,DES,DCN
CD103-positive dendritic cell	DPP4,THBD
CD11b-positive dendritic cell	CD1C,CD1A
CD49f+ hiPSC- astrocyte	ITGA6
Cancer stem cell	CHD7,SCAMP3,POU5F1,NFIB,CLCC1,THY1,EGFR,FUT4,SOX2,CD24,CADM1,HMOX1,HOXD9,NGFR,PROM1,ASCL1,MSI1
Cholinergic neuron	CHAT,SLC18A3
Dividing radial glia	TOP2A,MKI67
Dopaminergic neuron	TH,AJAP1
Dopaminergic neuronal progenitor cell	OTX2,LMX1A
Endothelial cell	A2M,FLT1,TM4SF1,SLCO1C1,VWF,TRAC,APOLD1,TRBC2,CD3D,PRKCH,TRBC1,IFITM1,CAV1,FN1,PECAM1,CLDN5,VCAM1
Ependymal cell	FOXJ1
Excitatory neuron	SLC17A6,NEUROD6,SATB2,GRM4,BCL11B,ADCY1
GABAergic neuron	GAD1,GAD2,GRIK1
Gamma-delta T cell	TRDC
Glioblast	POU5F1,SOX2,MYC,KLF4,NANOG,PROM1
Immature astrocyte	NUSAP1
Inflammatory macrophage	TSPO
Inhibitory neuron	GAD1,GAD2,DLX6-AS1
Intermediate progenitor cell	EOMES
Interneuron	RELN,SST,ID2,PVALB,VIP
Macrophage	FCER1G,EMB,CREM,TMEM123,CIB1,CD14,ITGA4,CD68,FGR,LYVE1,CYBB,AIF1,IL10,IFITM2,CD93,CSF1R,SPINT2,CX3CR1
Mature conventional dendritic cell	LAMP3,IDO1,AKAP4
Medial ganglionic eminence cell	NKX2-1
Microglial cell	RHOB,CD14,SPRY1,SIGLEC8,KLF2,CD68,HLA-DRA,CD74,ADORA3,AIF1,CSF1R,CX3CR1,FCER1G,PTPRC,FCGR2A,ADRB2,BIN1,CCL4,TREM2
Midbrain cell	PAX7
Motor neuron	LHX3,EVX2,EN1,ISL1,NKX6-1,MNX1,CHAT,EVX1
Naive B cell	CD24,CD19,MS4A1,KRT20
Natural killer cell	NKG7,GNLY
Neoplastic cell	PCSK1N,NFIB,SOX9,MBTPS2,NOVA1,EGFR,SOX2,CD44,SALL2,OLIG2,UCHL1,PARP1,POU3F2,POU3F3
Neurecto-epithelial cell	COL1A2
Neuroblast (sensu Vertebrata)	DCX,ACKR3,CD24,CALB2,DPYSL3
Neuron	DLX1,DLX5,CNTN4,ENO2,CDO1,EGFR,GRIA3,GLRA2,RBFOX3,SLITRK1,DLX2,GFAP,NFASC,DLX6,COBL,ARMH4,SLC10A4,DCN,TMEM130
Neutrophil	MPO
Oligodendrocyte	TNR,RAB33A,MOBP,MYT1,MBP,TUBB4A,MOG,OLIG2,PLP1,OMG,UGT8,MAG,NEU4,SIRT2,CNP,OPALIN,BIN1,GPR17,OLIG1,CLDN11
Oligodendrocyte precursor cell	CNTN1,CHAD,BCAN,ABHD2,CSPG4,EDIL3,DPYSL2,OLIG2,VCAN,SOX6,DLL3,CST3,LHFPL3,COL9A1,GPR17,ATP6AP2,CHL1,OLIG1,APOD
Outer radial glia	HOPX
Pericyte	ACKR3,CSPG4,CXCR4
Plasmacytoid dendritic cell	IRF8,SDC1,CD38,TCF4
Purkinje cell	NECAB2,MPRIP,PCP4,CALB1,LMO7
Radial glial cell	SOX9,HES1,RFX4,SOX2,GFAP,PAX6,CXCL12
Regulatory T cell	FOXP3,CD4,IL2RA
Stem cell	RBM6,TATDN3,AFMID,TNFAIP8L1,RAMP2-AS1,EIF4B,EGFR,FBXO27,SOX2,CD24,MBOAT1,HAPLN1,EEF1A1,EVI2A,LRTOMT,RAB42,PROM1
Subplate cell	NR4A2,TLE4
T cell	CD2,CD8A,PTPRC,CD3E,CD4,TRAC,CD3D,TRBC2,TRBC1,CD3G
T-helper 2 cell	TNFRSF8,CCR6
Thalamus cell	GBX2
Vascular leptomeningeal cell	COL1A1
Von Economo neuron	PCDH8,ADORA2A,TAC1,DRD2,PENK
