Angioblast	ENSG00000154188.10
Astrocyte	ENSG00000160307.10,ENSG00000100234.12,ENSG00000100427.16,ENSG00000262655.4,ENSG00000136160.17,ENSG00000120885.22,ENSG00000079215.15,ENSG00000110436.13,ENSG00000172201.12,ENSG00000152661.9,ENSG00000152583.13,ENSG00000135744.9,ENSG00000131095.14,ENSG00000078549.16,ENSG00000109107.14,ENSG00000092820.19,ENSG00000125398.8,ENSG00000144908.14,ENSG00000171885.18,ENSG00000130203.10
Border-associated macrophage	ENSG00000099250.18,ENSG00000081237.21,ENSG00000165457.15,ENSG00000260314.3,ENSG00000089041.17,ENSG00000172322.14,ENSG00000135404.12
Brain pericyte	ENSG00000143248.13,ENSG00000166825.15,ENSG00000113721.14,ENSG00000168542.17,ENSG00000076706.17,ENSG00000173546.7,ENSG00000175084.13,ENSG00000011465.18
CD103-positive dendritic cell	ENSG00000197635.11,ENSG00000178726.7
CD11b-positive dendritic cell	ENSG00000158481.13,ENSG00000158477.7
CD49f+ hiPSC- astrocyte	ENSG00000091409.16
Cancer stem cell	ENSG00000171316.14,ENSG00000116521.11,ENSG00000204531.21,ENSG00000147862.18,ENSG00000121940.17,ENSG00000154096.14,ENSG00000146648.21,ENSG00000196371.4,ENSG00000181449.4,ENSG00000272398.6,ENSG00000182985.19,ENSG00000100292.18,ENSG00000128709.13,ENSG00000064300.9,ENSG00000007062.12,ENSG00000139352.4,ENSG00000135097.7
Cholinergic neuron	ENSG00000070748.19,ENSG00000187714.7
Dividing radial glia	ENSG00000131747.15,ENSG00000148773.14
Dopaminergic neuron	ENSG00000180176.15,ENSG00000196581.11
Dopaminergic neuronal progenitor cell	ENSG00000165588.19,ENSG00000162761.14
Endothelial cell	ENSG00000175899.15,ENSG00000102755.13,ENSG00000169908.12,ENSG00000139155.9,ENSG00000110799.14,ENSG00000277734.8,ENSG00000178878.13,ENSG00000211772.11,ENSG00000167286.11,ENSG00000027075.17,ENSG00000211751.9,ENSG00000185885.17,ENSG00000105974.13,ENSG00000115414.21,ENSG00000261371.6,ENSG00000184113.10,ENSG00000162692.12
Ependymal cell	ENSG00000129654.8
Excitatory neuron	ENSG00000091664.9,ENSG00000164600.7,ENSG00000119042.18,ENSG00000124493.14,ENSG00000127152.18,ENSG00000164742.16
GABAergic neuron	ENSG00000128683.14,ENSG00000136750.13,ENSG00000171189.18
Gamma-delta T cell	ENSG00000211829.9
Glioblast	ENSG00000204531.21,ENSG00000181449.4,ENSG00000136997.22,ENSG00000136826.15,ENSG00000111704.11,ENSG00000007062.12
Immature astrocyte	ENSG00000137804.14
Inflammatory macrophage	ENSG00000100300.18
Inhibitory neuron	ENSG00000128683.14,ENSG00000136750.13,ENSG00000231764.11
Intermediate progenitor cell	ENSG00000163508.13
Interneuron	ENSG00000189056.15,ENSG00000157005.4,ENSG00000115738.10,ENSG00000100362.13,ENSG00000146469.13
Macrophage	ENSG00000158869.11,ENSG00000170571.12,ENSG00000095794.21,ENSG00000152558.15,ENSG00000185043.13,ENSG00000170458.15,ENSG00000115232.14,ENSG00000129226.14,ENSG00000000938.13,ENSG00000133800.9,ENSG00000165168.9,ENSG00000204472.13,ENSG00000136634.7,ENSG00000185201.18,ENSG00000125810.10,ENSG00000182578.14,ENSG00000167642.13,ENSG00000168329.14
Mature conventional dendritic cell	ENSG00000078081.8,ENSG00000131203.13,ENSG00000147081.15
Medial ganglionic eminence cell	ENSG00000136352.20
Microglial cell	ENSG00000143878.10,ENSG00000170458.15,ENSG00000164056.11,ENSG00000105366.15,ENSG00000127528.6,ENSG00000129226.14,ENSG00000204287.14,ENSG00000019582.17,ENSG00000282608.2,ENSG00000204472.13,ENSG00000182578.14,ENSG00000168329.14,ENSG00000158869.11,ENSG00000081237.21,ENSG00000143226.16,ENSG00000169252.6,ENSG00000136717.15,ENSG00000275302.2,ENSG00000095970.17
Midbrain cell	ENSG00000009709.12
Motor neuron	ENSG00000107187.17,ENSG00000174279.5,ENSG00000163064.7,ENSG00000016082.15,ENSG00000163623.10,ENSG00000130675.15,ENSG00000070748.19,ENSG00000106038.13
Naive B cell	ENSG00000272398.6,ENSG00000177455.15,ENSG00000156738.18,ENSG00000171431.4
Natural killer cell	ENSG00000105374.10,ENSG00000115523.17
Neoplastic cell	ENSG00000102109.9,ENSG00000147862.18,ENSG00000125398.8,ENSG00000012174.12,ENSG00000139910.20,ENSG00000146648.21,ENSG00000181449.4,ENSG00000026508.21,ENSG00000165821.12,ENSG00000205927.5,ENSG00000154277.13,ENSG00000143799.14,ENSG00000184486.10,ENSG00000198914.5
Neurecto-epithelial cell	ENSG00000164692.19
