Angioblast	ANGPT1
Astrocyte	GFAP,AQP4,SLC1A3,SLC1A2,ALDOC,MLC1,APOE,S100B,ALDH1L1,CLU,AGT,EDNRB,GJA1,ID4,SOX9,TIMP3,EZR,SPARCL1,SPON1,ADCYAP1R1
Border-associated macrophage	CLEC12A,FOLR2,MRC1,P2RX7,PTPRC,NRP1,CD63
Brain pericyte	PDGFRB,RGS5,COL3A1,CSPG4,DCN,DES,ANPEP,MCAM
CD103-positive dendritic cell	DPP4,THBD
CD11b-positive dendritic cell	CD1A,CD1C
CD49f+ hiPSC- astrocyte	ITGA6
Cancer stem cell	PROM1,SOX2,FUT4,MSI1,THY1,CD24,SCAMP3,EGFR,CLCC1,CADM1,HMOX1,HOXD9,ASCL1,NFIB,NGFR,POU5F1,CHD7
Cholinergic neuron	CHAT,SLC18A3
Dividing radial glia	MKI67,TOP2A
Dopaminergic neuron	AJAP1,TH
Dopaminergic neuronal progenitor cell	LMX1A,OTX2
Endothelial cell	PECAM1,FLT1,TM4SF1,VWF,A2M,FN1,TRBC2,TRBC1,TRAC,SLCO1C1,PRKCH,CLDN5,VCAM1,APOLD1,IFITM1,CAV1,CD3D
Ependymal cell	FOXJ1
Excitatory neuron	SATB2,ADCY1,GRM4,SLC17A6,NEUROD6,BCL11B
GABAergic neuron	GAD1,GAD2,GRIK1
Gamma-delta T cell	TRDC
Glioblast	MYC,POU5F1,SOX2,NANOG,PROM1,KLF4
Immature astrocyte	NUSAP1
Inflammatory macrophage	TSPO
Inhibitory neuron	GAD2,GAD1,DLX6-AS1
Intermediate progenitor cell	EOMES
Interneuron	PVALB,SST,VIP,ID2,RELN
Macrophage	CD68,AIF1,IL10,ITGA4,CD14,CIB1,IFITM2,SPINT2,LYVE1,TMEM123,EMB,CREM,CSF1R,CX3CR1,CYBB,FCER1G,FGR,CD93
Mature conventional dendritic cell	LAMP3,IDO1,AKAP4
Medial ganglionic eminence cell	NKX2-1
Microglial cell	CSF1R,CD14,CX3CR1,AIF1,CD68,PTPRC,CCL4,CD74,SPRY1,KLF2,ADORA3,ADRB2,FCER1G,FCGR2A,SIGLEC8,BIN1,HLA-DRA,RHOB,TREM2
Midbrain cell	PAX7
Motor neuron	CHAT,EN1,EVX1,MNX1,EVX2,ISL1,NKX6-1,LHX3
Naive B cell	CD24,KRT20,CD19,MS4A1
Natural killer cell	GNLY,NKG7
Neoplastic cell	SOX2,SOX9,OLIG2,PARP1,EGFR,PCSK1N,NFIB,NOVA1,MBTPS2,POU3F2,POU3F3,SALL2,UCHL1,CD44
Neurecto-epithelial cell	COL1A2
Neuroblast (sensu Vertebrata)	DCX,CD24,DPYSL3,ACKR3,CALB2
Neuron	RBFOX3,CDO1,SLITRK1,ARMH4,CNTN4,DCN,DLX1,DLX2,DLX5,DLX6,EGFR,SLC10A4,ENO2,TMEM130,NFASC,COBL,GFAP,GLRA2,GRIA3
Neutrophil	MPO
Oligodendrocyte	MBP,MOG,PLP1,MAG,OLIG2,CNP,MOBP,CLDN11,OPALIN,OLIG1,SIRT2,BIN1,GPR17,MYT1,OMG,TNR,UGT8,RAB33A,TUBB4A,NEU4
Oligodendrocyte precursor cell	CSPG4,OLIG2,OLIG1,LHFPL3,VCAN,GPR17,APOD,SOX6,BCAN,EDIL3,ATP6AP2,DLL3,CHL1,CHAD,ABHD2,CNTN1,COL9A1,CST3,DPYSL2
Outer radial glia	HOPX
Pericyte	CSPG4,ACKR3,CXCR4
Plasmacytoid dendritic cell	IRF8,SDC1,TCF4,CD38
Purkinje cell	MPRIP,LMO7,PCP4,NECAB2,CALB1
Radial glial cell	PAX6,SOX2,GFAP,HES1,RFX4,CXCL12,SOX9
Regulatory T cell	IL2RA,FOXP3,CD4
Stem cell	CD24,SOX2,PROM1,RAMP2-AS1,RBM6,RAB42,AFMID,TNFAIP8L1,FBXO27,TATDN3,HAPLN1,MBOAT1,EEF1A1,EGFR,EIF4B,EVI2A,LRTOMT
Subplate cell	NR4A2,TLE4
T cell	CD3D,CD3E,CD3G,CD8A,TRBC2,TRBC1,TRAC,PTPRC,CD2,CD4
T-helper 2 cell	CCR6,TNFRSF8
Thalamus cell	GBX2
Vascular leptomeningeal cell	COL1A1
Von Economo neuron	ADORA2A,DRD2,PCDH8,PENK,TAC1
