"cellType"	"gene"	"log1p_FC"	"pct.inGroup"	"pct.outGroup"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"1"	"Basal"	"MIR205HG"	1.75751427370426	0.969230769230769	0.489669421487603	8.08649447617793e-39	2.83835956113845e-36	2.83835956113845e-36
"2"	"Basal"	"KRT5"	0.750193506498229	0.861538461538462	0.264462809917355	3.59816609809551e-36	6.31478150215761e-34	1.26295630043152e-33
"3"	"Basal"	"EYA2"	1.43615110617831	0.984615384615385	0.669421487603306	1.46328107447806e-33	1.71203885713933e-31	5.13611657141799e-31
"4"	"Basal"	"CYP24A1"	0.678724124407616	0.892307692307692	0.320247933884298	4.87370624050379e-32	4.27667722604207e-30	1.71067089041683e-29
"5"	"Basal"	"KRT17"	1.94351798836051	0.953846153846154	0.526859504132231	2.22800748360338e-31	1.56406125348957e-29	7.82030626744787e-29
"6"	"Basal"	"KRT15"	1.08176176899312	0.923076923076923	0.566115702479339	7.82051236471757e-31	4.57499973335978e-29	2.74499984001587e-28
"7"	"Basal"	"S100A2"	1.58346141984501	0.923076923076923	0.617768595041322	1.32266215134526e-29	6.63220593031694e-28	4.64254415122186e-27
"8"	"Basal"	"TNS4"	0.666387023680253	0.892307692307692	0.493801652892562	1.0611936584463e-28	4.65598717643313e-27	3.72478974114651e-26
"9"	"Basal"	"LGALS7B"	0.62917619560933	0.830769230769231	0.382231404958678	1.60890912319922e-27	6.27474558047695e-26	5.64727102242925e-25
"10"	"Basal"	"TMPRSS4"	0.741805084104387	0.953846153846154	0.545454545454545	5.15185777773415e-27	1.80830207998469e-25	1.80830207998469e-24
"11"	"Basal"	"ETS2"	0.752775037583291	0.984615384615385	0.857438016528926	8.67247113973884e-27	2.76730670004394e-25	3.04403737004833e-24
"12"	"Basal"	"FAF1"	0.802109381991539	1	0.925619834710744	6.87212080761521e-26	2.01009533622745e-24	2.41211440347294e-23
"13"	"Basal"	"IL33"	0.370362411093075	0.753846153846154	0.272727272727273	1.68570899022431e-25	4.55141427360565e-24	5.91683855568734e-23
"14"	"Basal"	"COL4A5"	0.605702599645633	0.938461538461538	0.723140495867769	2.91113699048155e-25	7.29863631185017e-24	1.02180908365902e-22
"15"	"Basal"	"PRKCH"	0.575373083530054	0.953846153846154	0.820247933884298	3.13360255902319e-25	7.33262998811427e-24	1.09989449821714e-22
"16"	"Basal"	"TIAM1"	0.930853750255889	0.907692307692308	0.71900826446281	4.7219537927011e-25	1.0358786132738e-23	1.65740578123808e-22
"17"	"Basal"	"TRPC6"	0.62870445983176	0.876923076923077	0.526859504132231	7.2910988312169e-25	1.50539746456302e-23	2.55917568975713e-22
"18"	"Basal"	"SLC2A9"	0.478224556107923	0.846153846153846	0.516528925619835	2.65724020516606e-24	4.95165159142109e-23	9.32691312013289e-22
"19"	"Basal"	"LGALS7"	0.305100630198237	0.723076923076923	0.256198347107438	2.68038120333335e-24	4.95165159142109e-23	9.40813802370007e-22
"20"	"Basal"	"TP63"	0.677493813459745	0.876923076923077	0.491735537190083	1.76200841290742e-23	3.09232476465253e-22	6.18464952930505e-21
"21"	"Basal"	"SERPINB5"	0.444911965306677	0.769230769230769	0.34297520661157	7.2123174256475e-23	1.20548734114394e-21	2.53152341640227e-20
"22"	"Basal"	"UGT1A8"	0.378915666260996	0.815384615384615	0.423553719008264	1.15413730818602e-22	1.84137361442406e-21	4.05102195173292e-20
"23"	"Basal"	"XPR1"	0.745060958606364	0.969230769230769	0.90702479338843	2.83795421392976e-22	4.33096490908411e-21	9.96121929089345e-20
"24"	"Basal"	"ITGB4"	0.496081681385086	0.907692307692308	0.673553719008264	4.15917943495474e-22	6.08279992362131e-21	1.45987198166911e-19
"25"	"Basal"	"DGKH"	0.866663466750623	0.984615384615385	0.855371900826446	4.37462077363981e-22	6.14196756619029e-21	1.53549189154757e-19
"26"	"Basal"	"SLC39A11"	0.602395772967598	0.953846153846154	0.849173553719008	5.21720032396325e-22	7.04322043735038e-21	1.8312373137111e-19
"27"	"Basal"	"ABI1"	0.743982576673363	0.984615384615385	0.882231404958678	3.75317411871193e-21	4.8791263543255e-20	1.31736411566789e-18
"28"	"Basal"	"CDH3"	0.575667681055185	0.907692307692308	0.704545454545455	1.80474918856108e-20	2.26238201851764e-19	6.33466965184938e-18
"29"	"Basal"	"EGFR"	0.680755587792742	0.953846153846154	0.888429752066116	3.76924073670156e-20	4.56208102959396e-19	1.32300349858225e-17
"30"	"Basal"	"ITGA2"	0.783922186744909	0.953846153846154	0.721074380165289	4.71295444411786e-20	5.5141566996179e-19	1.65424700988537e-17
"31"	"Basal"	"C16orf74"	0.358916453794533	0.784615384615385	0.464876033057851	5.56141908391077e-20	6.29696160791187e-19	1.95205809845268e-17
"32"	"Basal"	"DHRS3"	0.70138866922072	0.923076923076923	0.828512396694215	6.78124576198278e-20	7.43817894517487e-19	2.38021726245596e-17
"33"	"Basal"	"ACTN4"	0.610906128294955	0.953846153846154	0.909090909090909	4.67207682758552e-19	4.96939080752278e-18	1.63989896648252e-16
"34"	"Basal"	"ID1"	0.775423116905363	0.938461538461538	0.838842975206612	5.37006818420101e-19	5.5438056842781e-18	1.88489393265455e-16
"35"	"Basal"	"MCC"	0.593824634835148	0.876923076923077	0.760330578512397	5.62100648058212e-19	5.63706649909807e-18	1.97297327468432e-16
"36"	"Basal"	"CACHD1"	0.720844574221205	0.907692307692308	0.78099173553719	9.6006208639959e-19	9.360605342396e-18	3.36981792326256e-16
"37"	"Basal"	"SEPT9"	0.621839071188146	0.969230769230769	0.921487603305785	1.58082167852654e-18	1.49964434908869e-17	5.54868409162816e-16
"38"	"Basal"	"ABCC1"	0.533122646941574	0.969230769230769	0.84504132231405	2.05586397574901e-18	1.89896909338922e-17	7.21608255487903e-16
"39"	"Basal"	"FRMD4B"	0.636499596391934	0.953846153846154	0.847107438016529	2.43649472911874e-18	2.19284525620686e-17	8.55209649920677e-16
"40"	"Basal"	"IGFBP2"	0.621517985980335	0.938461538461538	0.646694214876033	2.71012668075587e-18	2.37813616236327e-17	9.51254464945309e-16
"41"	"Basal"	"SHROOM3"	-0.795542315571309	0.861538461538462	0.923553719008264	5.25825237151478e-18	4.50157703024802e-17	1.84564658240169e-15
"42"	"Basal"	"SERPINF1"	0.48738227692366	0.923076923076923	0.677685950413223	5.82122944010618e-18	4.86488460351731e-17	2.04325153347727e-15
"43"	"Basal"	"LIMA1"	0.500313011880823	0.938461538461538	0.849173553719008	6.09446866824575e-18	4.97478721524246e-17	2.13915850255426e-15
"44"	"Basal"	"SSBP2"	0.614606387907756	0.938461538461538	0.927685950413223	1.06136459474252e-17	8.46679483533239e-17	3.72538972754625e-15
"45"	"Basal"	"WWC1"	-0.575056591581885	0.784615384615385	0.915289256198347	1.26844521316531e-17	9.89387266268939e-17	4.45224269821022e-15
"46"	"Basal"	"NDE1"	0.401758700989709	0.846153846153846	0.673553719008264	4.23438987223868e-17	3.18524068070855e-16	1.48627084515578e-14
"47"	"Basal"	"SPOCK3"	0.311833703571365	0.8	0.551652892561983	4.26513709382626e-17	3.18524068070855e-16	1.49706311993302e-14
"48"	"Basal"	"KIAA1217"	0.76257559473935	0.969230769230769	0.909090909090909	4.86955408401908e-17	3.56086142393895e-16	1.7092134834907e-14
"49"	"Basal"	"DPYSL2"	-0.353172551212625	0.538461538461538	0.820247933884298	6.38294552096538e-17	4.5722732201201e-16	2.24041387785885e-14
"50"	"Basal"	"AQP3"	0.637374258552425	0.938461538461538	0.793388429752066	6.63721253703364e-17	4.65932320099762e-16	2.32966160049881e-14
"51"	"Basal"	"PTPRZ1"	0.336872746712364	0.784615384615385	0.495867768595041	7.61008629862398e-17	5.23752998199415e-16	2.67114029081702e-14
"52"	"Basal"	"FHL2"	0.448916368980734	0.892307692307692	0.650826446280992	1.24453469072075e-16	8.40060916236508e-16	4.36831676442984e-14
"53"	"Basal"	"AK1"	-0.309423653086671	0.6	0.828512396694215	2.05447560374247e-16	1.36060554134643e-15	7.21120936913608e-14
"54"	"Basal"	"CMIP"	0.605319708579978	0.984615384615385	0.913223140495868	2.97236590786199e-16	1.91935533580746e-15	1.04330043365956e-13
"55"	"Basal"	"USP31"	0.425332917848809	0.846153846153846	0.716942148760331	3.00753685098035e-16	1.91935533580746e-15	1.0556454346941e-13
"56"	"Basal"	"DTNB"	0.435121099471189	0.984615384615385	0.855371900826446	3.11405950926411e-16	1.95184801384233e-15	1.0930348877517e-13
"57"	"Basal"	"ARHGAP23"	0.367959257952552	0.907692307692308	0.739669421487603	3.60801962892246e-16	2.22178050833646e-15	1.26641488975178e-13
"58"	"Basal"	"SLC22A23"	0.524398876192524	0.907692307692308	0.807851239669422	4.51514437360374e-16	2.73244081919813e-15	1.58481567513491e-13
"59"	"Basal"	"TCF4"	0.506404803582249	0.938461538461538	0.824380165289256	5.13938769332623e-16	3.03934350009935e-15	1.80392508035751e-13
"60"	"Basal"	"TPM4"	0.613187287985246	0.984615384615385	0.898760330578512	5.1954589745288e-16	3.03934350009935e-15	1.82360610005961e-13
"61"	"Basal"	"GOLGA8A"	0.438418876692878	0.892307692307692	0.793388429752066	5.34315243607564e-16	3.07450246731566e-15	1.87544650506255e-13
"62"	"Basal"	"PPP1R9A"	-0.407572849811448	0.723076923076923	0.888429752066116	5.6871635624633e-16	3.21966840391067e-15	1.99619441042462e-13
"63"	"Basal"	"INTS4P1"	0.374396943639049	0.830769230769231	0.559917355371901	5.87163299004749e-16	3.27133838016932e-15	2.06094317950667e-13
"64"	"Basal"	"CMAHP"	-0.576481987760757	0.6	0.834710743801653	6.65539314571553e-16	3.65006717835336e-15	2.33604299414615e-13
"65"	"Basal"	"ARG2"	0.470008041160827	0.892307692307692	0.677685950413223	7.60025479595551e-16	4.10413758981598e-15	2.66768943338038e-13
"66"	"Basal"	"LINC00511"	1.03140037114219	0.969230769230769	0.830578512396694	7.925923320953e-16	4.21515012977955e-15	2.7819990856545e-13
"67"	"Basal"	"PTPRS"	0.365652738703587	0.923076923076923	0.838842975206612	1.73586684013864e-15	9.09386956550244e-15	6.09289260888663e-13
"68"	"Basal"	"NAV2"	-0.595468060079881	0.815384615384615	0.940082644628099	1.85086917833388e-15	9.5537511999293e-15	6.49655081595192e-13
"69"	"Basal"	"ENSG00000256249"	0.303656874258951	0.769230769230769	0.450413223140496	3.12629395437991e-15	1.59033214201065e-14	1.09732917798735e-12
"70"	"Basal"	"RGS12"	0.315764444718282	0.861538461538462	0.690082644628099	3.95767981820101e-15	1.98449373741222e-14	1.38914561618855e-12
"71"	"Basal"	"ZSWIM6"	0.731079195712152	0.984615384615385	0.962809917355372	4.31714926333992e-15	2.13425266398917e-14	1.51531939143231e-12
"72"	"Basal"	"ITGA6"	0.352259247182081	0.830769230769231	0.605371900826446	5.26035754943941e-15	2.56442430535171e-14	1.84638549985323e-12
"73"	"Basal"	"F3"	0.723499578917923	0.923076923076923	0.807851239669422	1.03896069424974e-14	4.99555073536517e-14	3.64675203681658e-12
"74"	"Basal"	"ANOS1"	0.435800692036593	0.907692307692308	0.71900826446281	1.46556794046222e-14	6.95154523111133e-14	5.14414347102239e-12
"75"	"Basal"	"ASAP1"	0.535354437763199	0.953846153846154	0.867768595041322	1.59345586023393e-14	7.43909004785104e-14	5.59303006942111e-12
"76"	"Basal"	"CLDN1"	0.434450383357717	0.953846153846154	0.774793388429752	1.61074314426404e-14	7.43909004785104e-14	5.65370843636679e-12
"77"	"Basal"	"SSH1"	0.309074911470936	0.846153846153846	0.669421487603306	1.75276873513432e-14	7.98989384457334e-14	6.15221826032147e-12
"78"	"Basal"	"DENND2C"	0.443913807544058	0.938461538461538	0.758264462809917	2.27866978042734e-14	1.0254014011923e-13	7.99813092929998e-12
"79"	"Basal"	"PVT1"	0.537481006943706	0.984615384615385	0.836776859504132	2.50286057891014e-14	1.11203045974362e-13	8.78504063197461e-12
"80"	"Basal"	"STK17A"	0.419865130283508	0.907692307692308	0.834710743801653	2.67102953761943e-14	1.17191420963052e-13	9.3753136770442e-12
"81"	"Basal"	"MAGI1"	-0.642352541396109	0.938461538461538	0.971074380165289	2.9882421716972e-14	1.29490494106879e-13	1.04887300226572e-11
"82"	"Basal"	"NDFIP2"	0.390048785681365	0.876923076923077	0.783057851239669	5.95420160402199e-14	2.54868873538015e-13	2.08992476301172e-11
"83"	"Basal"	"ENSG00000273088"	-0.636923772007648	0.815384615384615	0.890495867768595	6.58841323510187e-14	2.78618439219368e-13	2.31253304552076e-11
"84"	"Basal"	"IFITM10"	0.390359173215498	0.815384615384615	0.617768595041322	6.8537613772899e-14	2.86389314693899e-13	2.40567024342875e-11
"85"	"Basal"	"AGR3"	-0.694935919231468	0.661538461538462	0.803719008264463	7.6190926588682e-14	3.14623708619146e-13	2.67430152326274e-11
"86"	"Basal"	"WASF2"	0.383828280610433	0.938461538461538	0.861570247933884	9.20335470352369e-14	3.75625290806607e-13	3.23037750093682e-11
"87"	"Basal"	"ALDH7A1"	0.325891177742101	0.784615384615385	0.65495867768595	1.46783249063774e-13	5.92194487602121e-13	5.15209204213845e-11
"88"	"Basal"	"MYH9"	0.643995477183302	0.984615384615385	0.942148760330578	1.94194234651412e-13	7.74570185939155e-13	6.81621763626456e-11
"89"	"Basal"	"TTC19"	0.327986760112662	0.969230769230769	0.855371900826446	2.22299472671716e-13	8.76709156267104e-13	7.80271149077723e-11
"90"	"Basal"	"CRYBG1"	0.343404488880613	0.861538461538462	0.745867768595041	3.09516826194719e-13	1.19715131880551e-12	1.08640405994346e-10
"91"	"Basal"	"LIMCH1"	-0.691572284491458	0.876923076923077	0.927685950413223	3.10372564134761e-13	1.19715131880551e-12	1.08940770011301e-10
"92"	"Basal"	"BTBD9"	-0.589873213329826	0.923076923076923	0.964876033057851	3.18772260074035e-13	1.21618547049985e-12	1.11889063285986e-10
"93"	"Basal"	"CPEB4"	-0.314698836781076	0.784615384615385	0.886363636363636	4.26221424018275e-13	1.60864214871414e-12	1.49603719830415e-10
"94"	"Basal"	"ARHGEF38"	-0.395725082130501	0.507692307692308	0.741735537190083	4.4874034582384e-13	1.67561554664008e-12	1.57507861384168e-10
"95"	"Basal"	"RORA"	0.516786684943729	0.938461538461538	0.871900826446281	5.51808106573423e-13	2.03878574112917e-12	1.93684645407271e-10
"96"	"Basal"	"CPNE8"	0.326506045188669	0.861538461538462	0.768595041322314	5.79783972532695e-13	2.11983514957266e-12	2.03504174358976e-10
"97"	"Basal"	"DOCK4"	-0.487384810091464	0.876923076923077	0.917355371900826	6.73522739350578e-13	2.42359246963524e-12	2.36406481512053e-10
"98"	"Basal"	"MRTFA"	0.471298399300004	0.984615384615385	0.929752066115702	6.76672541379641e-13	2.42359246963524e-12	2.37512062024254e-10
"99"	"Basal"	"ENSG00000272693"	0.366542160304421	0.876923076923077	0.743801652892562	8.23006395811555e-13	2.91793176696824e-12	2.88875244929856e-10
"100"	"Basal"	"LGR4"	0.329876921862849	0.892307692307692	0.667355371900826	8.50867680383903e-13	2.9865455581475e-12	2.9865455581475e-10
"101"	"Basal"	"NHS"	0.347491959818518	0.861538461538462	0.681818181818182	9.06547309965465e-13	3.1504762950285e-12	3.18198105797878e-10
"102"	"Basal"	"ABCC3"	0.380497387115035	0.892307692307692	0.75	9.93152776933561e-13	3.41761396768314e-12	3.4859662470368e-10
"103"	"Basal"	"COX17"	-0.324712866845209	0.723076923076923	0.87396694214876	1.16358325815773e-12	3.96522061760548e-12	4.08417723613364e-10
"104"	"Basal"	"PIP5K1B"	-0.375457628954336	0.676923076923077	0.830578512396694	1.33308559014029e-12	4.49916386672346e-12	4.6791304213924e-10
"105"	"Basal"	"DAPK1"	-0.500440721676768	0.830769230769231	0.933884297520661	2.21974144908354e-12	7.42027855836498e-12	7.79129248628323e-10
"106"	"Basal"	"PRKCA"	0.399873268412886	0.923076923076923	0.803719008264463	3.97522646042786e-12	1.31632498831149e-11	1.39530448761018e-09
