Cell of skeletal muscle	ENO3
Endothelial cell	MCAM,PTPRC,CD34,CUZD1,CLEC14A,KCNH2,KDR,NOS3,NCAM1,PECAM1
Muscle-derived stem cell	ANPEP
Myoblast	CDC20,ID1,CDK1,MYOG,ID3,PCNA,TTN
Myotube	MYOG,MYBPH,TTN,MYH3
Pericyte	MCAM,ALPG,PDGFRB,CSPG4
Smooth muscle myoblast	CD82,NCAM1,PAX7
Stem cell	KIT,RUNX1,VCAM1,NANOG,CD34,ACTA1,CD9,CXCR4,PROM1,CSPG4,KDR,SMTN,CD44,PAX7,THY1,NCAM1,FUT4
CD103-positive dendritic cell	CLEC9A
CD11b-positive dendritic cell	FCER1A
Langerhans cell	CD207
Macrophage	VSIG4,C1QB,C1QC
Monocyte	VCAN,S100A8,S100A12
