Cell of skeletal muscle	ENO3
Endothelial cell	PECAM1,CD34,CLEC14A,KCNH2,KDR,MCAM,NCAM1,NOS3,CUZD1,PTPRC
Muscle-derived stem cell	ANPEP
Myoblast	ID1,ID3,MYOG,PCNA,TTN,CDK1,CDC20
Myotube	MYBPH,MYH3,MYOG,TTN
Pericyte	CSPG4,ALPG,MCAM,PDGFRB
Smooth muscle myoblast	PAX7,CD82,NCAM1
Stem cell	CD34,CSPG4,FUT4,KDR,KIT,NCAM1,PAX7,ACTA1,SMTN,THY1,VCAM1,CXCR4,NANOG,RUNX1,PROM1,CD9,CD44
CD103-positive dendritic cell	CLEC9A
CD11b-positive dendritic cell	FCER1A
Langerhans cell	CD207
Macrophage	VSIG4,C1QB,C1QC
Monocyte	VCAN,S100A8,S100A12
