Cell of skeletal muscle	MSE,ENO3
Endothelial cell	PECAM1,VECAD,CD34,CLEC14A,KCNH2,KDR,MCAM,NCAM1,NOS3,CUZD1,PTPRC
Inflammatory cell	PECAM1,PTPRC,CD34
Mesenchymal progenitor cell	CD105,MCAM,NT5E,THY1
Mesenchymal stem cell	CD105,NT5E,THY1,CD44
Muscle-derived stem cell	ANPEP
Myoblast	ID1,ID3,MYOG,PCNA,TTN,CDK1,CDC20
Myotube	MYBPH,MYH3,MYOG,TTN
Pericyte	CSPG4,ALPG,MCAM,PDGFRALPHA,PDGFRB
Skeletal muscle satellite myogenic cell	CLEC14A
Smooth muscle myoblast	PAX7,CD82,NCAM1,CD318
Stem cell	CD34,LY6A,NESTIN,CSPG4,FUT4,KDR,KIT,NCAM1,PAX7,ACTA1,SMTN,THY1,VCAM1,VIMENTIN,CXCR4,NANOG,RUNX1,PROM1,CD9,CD44
