B cell	ENSG00000177455.15
Basal cell	ENSG00000187079.20,ENSG00000197956.10,ENSG00000073282.14,ENSG00000171346.16,ENSG00000186081.12,ENSG00000186847.6
Cancer stem cell	ENSG00000101000.6,ENSG00000007062.12,ENSG00000091409.16,ENSG00000118777.12,ENSG00000106462.12,ENSG00000101384.12,ENSG00000115232.14,ENSG00000128274.17,ENSG00000161638.11,ENSG00000121966.8,ENSG00000164171.11,ENSG00000157404.17,ENSG00000114315.4,ENSG00000272398.6,ENSG00000150093.20,ENSG00000204531.21,ENSG00000019991.18,ENSG00000198223.18,ENSG00000292357.1,ENSG00000168283.14,ENSG00000026508.21
Cancer-associated fibroblast	ENSG00000154096.14
Circulating tumor cell	ENSG00000140937.14,ENSG00000119888.11
Club cell	ENSG00000162896.6,ENSG00000171345.13,ENSG00000149021.7,ENSG00000161055.4
Cytotoxic T cell	ENSG00000172116.23,ENSG00000153563.17,ENSG00000115523.17
Dendritic cell	ENSG00000083457.12,ENSG00000169896.18,ENSG00000140678.17
Endothelial cell of vascular tree	ENSG00000163072.16,ENSG00000127329.16,ENSG00000261371.6,ENSG00000091972.18,ENSG00000122679.8,ENSG00000161649.14,ENSG00000182240.16,ENSG00000196411.10,ENSG00000169744.13,ENSG00000110799.14,ENSG00000172889.16,ENSG00000184113.10
Epithelial cell	ENSG00000169083.18,ENSG00000170421.13,ENSG00000039068.20,ENSG00000073282.14,ENSG00000242110.9
Fat cell	ENSG00000181092.10,ENSG00000147872.10,ENSG00000134324.12,ENSG00000132170.24,ENSG00000112964.14,ENSG00000164330.18,ENSG00000150907.10,ENSG00000151726.16,ENSG00000166819.12,ENSG00000123689.6
Fibroblast	ENSG00000077942.19,ENSG00000142173.17,ENSG00000130635.17,ENSG00000172260.15,ENSG00000168542.17,ENSG00000206384.11,ENSG00000162733.19,ENSG00000115414.21,ENSG00000142156.16,ENSG00000136244.12,ENSG00000204262.14,ENSG00000166147.15,ENSG00000011465.18,ENSG00000108821.14,ENSG00000019991.18,ENSG00000164692.19,ENSG00000146674.16,ENSG00000115461.5,ENSG00000163359.17,ENSG00000187498.16
Ionocyte	ENSG00000001626.18,ENSG00000168269.10,ENSG00000176009.4
Luminal cell of prostate epithelium	ENSG00000142515.16,ENSG00000104067.17
Macrophage	ENSG00000019582.17,ENSG00000173372.18,ENSG00000153029.16,ENSG00000133800.9,ENSG00000168214.22,ENSG00000038945.15,ENSG00000018280.17,ENSG00000081237.21,ENSG00000135678.12,ENSG00000260314.3,ENSG00000129226.14,ENSG00000110077.15,ENSG00000182578.14,ENSG00000110079.19,ENSG00000135218.19,ENSG00000177575.13,ENSG00000153208.19
Mast cell	ENSG00000172236.19,ENSG00000179639.11,ENSG00000197253.14,ENSG00000140287.11,ENSG00000110848.8,ENSG00000157404.17
Memory B cell	ENSG00000117322.19,ENSG00000272398.6,ENSG00000026103.25,ENSG00000158481.13
Neuroendocrine cell	ENSG00000171951.5,ENSG00000100604.13,ENSG00000139352.4,ENSG00000089199.10
Pericyte	ENSG00000128641.19,ENSG00000076706.17,ENSG00000173546.7,ENSG00000166825.15,ENSG00000113721.14,ENSG00000175084.13
Secretory cell	ENSG00000164265.9,ENSG00000149021.7,ENSG00000161055.4
Smooth muscle cell	ENSG00000072110.16,ENSG00000198467.16,ENSG00000129116.20,ENSG00000149591.17,ENSG00000133392.18,ENSG00000183963.19,ENSG00000101335.10,ENSG00000130176.8,ENSG00000035403.18,ENSG00000141052.18,ENSG00000175084.13,ENSG00000163017.14
Stem cell	ENSG00000007062.12,ENSG00000026508.21,ENSG00000170017.12
T cell	ENSG00000167286.11,ENSG00000141293.16,ENSG00000160654.11,ENSG00000153283.13,ENSG00000211751.9,ENSG00000198821.12,ENSG00000105374.10,ENSG00000277734.8,ENSG00000081237.21,ENSG00000172673.12,ENSG00000110848.8,ENSG00000198851.10
