BEST4+ enterocyte	EPCAM,OTOP2,CA7,BEST4
CD103-positive dendritic cell	CLEC9A
CD11b-positive dendritic cell	FCER1A
Enteric neuron	TBCB,ARL6IP5,CLU,YWHAQ,CNN3,ANGPTL7,TUBA1B,IFITM2,ADD3,GPNMB,ADIRF,CNP,PRSS23,FGL2,MYL12B,TMEM123,IFITM3,TXNIP,KDELR2
Enterocyte	EPCAM,ANPEP,RBP2,FABP2
Goblet cell	CLCA1,FCGBP,ZG16,EPCAM,MUC2,SPDEF
Langerhans cell	CD207
Macrophage	VSIG4,C1QB,C1QC
Monocyte	S100A8,S100A12,VCAN
Paneth cell	DEFA5,DEFA6,EPCAM,REG3A
Stem cell	LGR5,ASCL2,OLFM4,SMOC2,RGMB,EPCAM
Transit amplifying cell	PCNA,EPCAM,MKI67,TOP2A
