BEST4+ enterocyte	BEST4,EPCAM,CA7,OTOP2
CD103-positive dendritic cell	CLEC9A
CD11b-positive dendritic cell	FCER1A
Enteric neuron	ANGPTL7,TUBA1B,MYL12B,IFITM3,GPNMB,ARL6IP5,IFITM2,TXNIP,FGL2,YWHAQ,ADIRF,KDELR2,PRSS23,TMEM123,TBCB,CLU,ADD3,CNN3,CNP
Enterocyte	FABP2,ANPEP,EPCAM,RBP2
Goblet cell	CLCA1,SPDEF,EPCAM,MUC2,ZG16,FCGBP
Langerhans cell	CD207
Macrophage	VSIG4,C1QB,C1QC
Monocyte	VCAN,S100A8,S100A12
Paneth cell	DEFA5,DEFA6,EPCAM,REG3A
Stem cell	OLFM4,RGMB,EPCAM,ASCL2,SMOC2,LGR5
Transit amplifying cell	EPCAM,MKI67,PCNA,TOP2A
