B cell	MS4A1,CD79A
Brush cell	DCLK1
CD103-positive dendritic cell	CLEC9A
CD11b-positive dendritic cell	FCER1A
Cancer stem cell	CD44,CD24,ITGA6,PROM1
Endothelial cell	VWF
Enterochromaffin-like cell	HDC
Epithelial cell	KRT8,EPCAM
Fibroblast	COL1A2
Foveolar cell of stomach	TFF2,MUC6,GKN1,TFF1
Gastric progenitor cell	SOX9
HES1-high progenitor cell	ALDH1A3
Hematopoietic multipotent progenitor cell	FAM229A,DNAL4,PPIH,PLK4,PTP4A3,SLX4IP,DTX3L,PWWP2B,ECE1,MTOR,NUDT8,LRRC57,C2CD2,UBE2S,ZFP41,POMT2,ZNF354C,ANKRD37,ZNF571
Langerhans cell	CD207
Macrophage	VSIG4,C1QB,C1QC,CD14
Mast cell	CPA3
Monocyte	VCAN,S100A8,S100A12
Parietal cell	ATP4A
Parietal progenitor cell	KERA,FGD5,ANXA1,HBB,CFH,FKBP14,H6PD
Peptic cell	BHLHA15
Pit cell	ADAMTS6,DCUN1D3,FAHD2B,RSPO2,BLOC1S3,MBD1,GALNT7,SALL4,RBL1,GREM2,TMEM135,ZNF747
Pit progenitor cell	TIMM17A,CFL2,LDB3,WIF1,FBXO32,CNN1,ADRA1D,TAFA4,SBSPON,BMPER,CFAP221,AK4,ALDH1B1,SETD1B,CORO1C,NPB,TNFAIP8,GBP2,HSPB8,IL17B
Proliferative cell	MKI67
Stem cell of gastric gland	BMI1,LGR5
T cell	CD2,CD3D,CD3E
Type D enteroendocrine cell	ATP9A,ATP6AP2,RBM5,MTATP6P1,CFL1,CHGA,CHGB,WDR6,KCTD12,RAB3C,UHMK1,CPE,CREM,CRIP2,CRYBA2,MECOM,RFX6,FKBP2
