Blood vessel endothelial cell	PECAM1,APLNR,ACKR1
CRTH2-CCR9+ group 2 innate lymphoid cell	CCR9
Ciliated cell	ATOH1,GFI1,FOXJ1,LHX3
Cortical thymic epithelial cell	PRSS16,CCL25,PSMB11
DN3 thymocyte	CD1A
Dendritic cell	ITGAX,CD80,CD83
Endothelial cell of lymphatic vessel	CCL21,LYVE1,PROX1
Endothelial cell of vascular tree	PECAM1,GJA4,VEGFC
Epithelial cell	WNT4,EPCAM,KRT8,NEUROD1,FZD4,CDR2,AIRE,PTPRC,MYOD1,CLDN4,FOXN1,LY75,IVL,PSMB11
Epithelial cell of thymus	WNT4,HOXB2,PAX9,SIX1,FOXN1,AIRE
Immune cell	PTPRC,CD3D,CD7
Mature plasmacytoid dendritic cell	CD4,NRP1
Medullary thymic epithelial cell	KRT1,PTPRC,IVL,CDR2
Mesenchymal cell	LUM,LAMA2
Mesothelial cell	MSLN,UPK3B,PRG4
Muscle-like myoid	MYOD1,DES
Neuroendocrine cell	NEUROD1,BEX1
Pericyte	CSPG4,MCAM,PDGFRB
Plasma cell	CD19,SDC1
Primitive red blood cell	HBG1,HBA1,GYPA
Schwann cell	MBP,MPZ,SOX10,S100A1
T cell	CD5,CD3D,CD4,THY1,CD3G,CD3E,CD8A
Type-1 epithelial cell of thymus	ITGA6,ATXN1
Type-2 epithelial cell of thymus	CD40,CD74,FEZF2,AIRE
Type-3 epithelial cell of thymus	KRT10,SPINK5,LY6D,PIGR,IVL
Type-4 epithelial cell of thymus	L1CAM,TRPM5,DCLK1
