Blood vessel endothelial cell	APLNR,ACKR1,PECAM1
CRTH2-CCR9+ group 2 innate lymphoid cell	CCR9
Ciliated cell	FOXJ1,GFI1,ATOH1,LHX3
Cortical thymic epithelial cell	PRSS16,PSMB11,CCL25
DN3 thymocyte	CD1A
Dendritic cell	ITGAX,CD83,CD80
Endothelial cell of lymphatic vessel	LYVE1,PROX1,CCL21
Endothelial cell of vascular tree	GJA4,PECAM1,VEGFC
Epithelial cell	KRT8,CDR2,PSMB11,CLDN4,AIRE,IVL,LY75,EPCAM,MYOD1,NEUROD1,WNT4,PTPRC,FZD4,FOXN1
Epithelial cell of thymus	HOXB2,AIRE,WNT4,PAX9,SIX1,FOXN1
Immune cell	PTPRC,CD3D,CD7
Mature plasmacytoid dendritic cell	NRP1,CD4
Medullary thymic epithelial cell	CDR2,IVL,KRT1,PTPRC
Mesenchymal cell	LAMA2,LUM
Mesothelial cell	PRG4,MSLN,UPK3B
Muscle-like myoid	DES,MYOD1
Neuroendocrine cell	NEUROD1,BEX1
Pericyte	CSPG4,MCAM,PDGFRB
Plasma cell	SDC1,CD19
Primitive red blood cell	GYPA,HBA1,HBG1
Schwann cell	MBP,MPZ,S100A1,SOX10
T cell	THY1,CD3D,CD3E,CD3G,CD4,CD5,CD8A
Type-1 epithelial cell of thymus	ITGA6,ATXN1
Type-2 epithelial cell of thymus	AIRE,FEZF2,CD40,CD74
Type-3 epithelial cell of thymus	SPINK5,IVL,KRT10,PIGR,LY6D
Type-4 epithelial cell of thymus	TRPM5,L1CAM,DCLK1
