# 				https://figshare.com/ndownloader/files/28846980
B lymphocytes	CD74,EZR,CD79A,SMAP2,HLA-DPA1
Ciliated epithelium	CAPS,ELF3,CLDN3,EPCAM,WFDC2
Cycling epithelial cells	MMP7,ELF3,CLDN3,CLDN4,WFDC2
Cycling immune cells	CORO1A,PCLAF,CCL4,HIST1H4C,HMGB2
Endometrial stromal fibbroblast	MMP11,COL3A1,COL1A2,COL1A1,SFRP4
Endothelium	CD93,SERPINE1,NDRG1,TM4SF1,CSF3
Lymphatic endothelium	ENG,IGFBP7,RAMP2,KLF2,A2M
Macrophages	TYROBP,RNASE1,CCL3,FCER1G,IL1B
Myometrial smooth muscle	ACTA2,TPM2,MYH11,MYL9,TAGLN
Pericyte	C11orf96,ACTA2,RGS5,TAGLN,ADIRF
T lymphocytes	ARHGDIB,CD3D,CXCR4,TSC22D3,SARAF
Unciliated epithelium	KRT8,UCA1,ELF3,CLDN4,EPCAM
Uterine NK cells	NKG7,GNLY,TSC22D3,AREG,CD7
Vascular smooth muscle	C11orf96,MYH11,MYL9,TAGLN,ADIRF
