# 				https://figshare.com/ndownloader/files/28846980
B lymphocytes	EZR,SMAP2,HLA-DPA1,CD74,CD79A
Ciliated epithelium	EPCAM,ELF3,WFDC2,CLDN3,CAPS
Cycling epithelial cells	CLDN3,CLDN4,ELF3,WFDC2,MMP7
Cycling immune cells	CCL4,PCLAF,CORO1A,HMGB2,HIST1H4C
Endometrial stromal fibbroblast	COL1A2,COL3A1,MMP11,SFRP4,COL1A1
Endothelium	CD93,NDRG1,CSF3,SERPINE1,TM4SF1
Lymphatic endothelium	ENG,KLF2,RAMP2,A2M,IGFBP7
Macrophages	RNASE1,CCL3,FCER1G,TYROBP,IL1B
Myometrial smooth muscle	MYL9,TPM2,ACTA2,MYH11,TAGLN
Pericyte	ACTA2,C11orf96,RGS5,ADIRF,TAGLN
T lymphocytes	SARAF,ARHGDIB,CD3D,TSC22D3,CXCR4
Unciliated epithelium	KRT8,EPCAM,UCA1,ELF3,CLDN4
Uterine NK cells	TSC22D3,CD7,AREG,NKG7,GNLY
Vascular smooth muscle	MYL9,C11orf96,MYH11,TAGLN,ADIRF
