B cell	ENSG00000105369.10,ENSG00000156738.18
Brush cell	ENSG00000133083.15
CD103-positive dendritic cell	ENSG00000197992.7
CD11b-positive dendritic cell	ENSG00000179639.11
Cancer stem cell	ENSG00000007062.12,ENSG00000272398.6,ENSG00000091409.16,ENSG00000026508.21
Endothelial cell	ENSG00000110799.14
Enterochromaffin-like cell	ENSG00000140287.11
Epithelial cell	ENSG00000119888.11,ENSG00000170421.13
Fibroblast	ENSG00000164692.19
Foveolar cell of stomach	ENSG00000184956.16,ENSG00000160181.9,ENSG00000169605.7,ENSG00000160182.3
Gastric progenitor cell	ENSG00000125398.8
HES1-high progenitor cell	ENSG00000184254.17
Hematopoietic multipotent progenitor cell	ENSG00000171960.12,ENSG00000184489.13,ENSG00000009830.13,ENSG00000186352.9,ENSG00000180979.10,ENSG00000142731.11,ENSG00000180479.15,ENSG00000177932.7,ENSG00000163840.10,ENSG00000171813.14,ENSG00000100246.13,ENSG00000167799.10,ENSG00000117298.16,ENSG00000157617.17,ENSG00000149346.15,ENSG00000225828.2,ENSG00000108106.14,ENSG00000181638.20,ENSG00000198793.14
Langerhans cell	ENSG00000116031.9
Macrophage	ENSG00000159189.13,ENSG00000170458.15,ENSG00000173369.18,ENSG00000155659.15
Mast cell	ENSG00000163751.4
Monocyte	ENSG00000038427.16,ENSG00000143546.10,ENSG00000163221.9
Parietal cell	ENSG00000105675.9
Parietal progenitor cell	ENSG00000135046.14,ENSG00000106080.11,ENSG00000244734.4,ENSG00000000971.17,ENSG00000139330.6,ENSG00000154783.12,ENSG00000049239.13
Peptic cell	ENSG00000180535.4
Pit cell	ENSG00000109586.12,ENSG00000188215.10,ENSG00000166575.17,ENSG00000144199.12,ENSG00000049192.15,ENSG00000141644.19,ENSG00000147655.12,ENSG00000101115.13,ENSG00000189114.8,ENSG00000180875.5,ENSG00000080839.12,ENSG00000169955.8
Pit progenitor cell	ENSG00000137124.8,ENSG00000122367.21,ENSG00000183979.8,ENSG00000163377.16,ENSG00000110880.11,ENSG00000156076.10,ENSG00000162433.15,ENSG00000139718.12,ENSG00000164764.11,ENSG00000171873.8,ENSG00000130176.8,ENSG00000156804.7,ENSG00000134375.11,ENSG00000163075.13,ENSG00000145779.8,ENSG00000164619.10,ENSG00000152137.8,ENSG00000127743.6,ENSG00000162645.13,ENSG00000165410.15
Proliferative cell	ENSG00000148773.14
Stem cell of gastric gland	ENSG00000168283.14,ENSG00000139292.13
T cell	ENSG00000116824.5,ENSG00000167286.11,ENSG00000198851.10
Type D enteroendocrine cell	ENSG00000152932.8,ENSG00000182809.11,ENSG00000185002.10,ENSG00000178695.6,ENSG00000182220.15,ENSG00000163499.12,ENSG00000109472.14,ENSG00000003756.17,ENSG00000085276.19,ENSG00000172757.13,ENSG00000173486.14,ENSG00000248527.1,ENSG00000100604.13,ENSG00000178252.19,ENSG00000095794.21,ENSG00000152332.16,ENSG00000089199.10,ENSG00000054793.14
