Cell of skeletal muscle	ENSG00000108515.18
Endothelial cell	ENSG00000076706.17,ENSG00000081237.21,ENSG00000174059.17,ENSG00000138161.14,ENSG00000176435.7,ENSG00000055118.17,ENSG00000128052.10,ENSG00000164867.11,ENSG00000149294.18,ENSG00000261371.6
Muscle-derived stem cell	ENSG00000166825.15
Myoblast	ENSG00000117399.14,ENSG00000125968.9,ENSG00000170312.17,ENSG00000122180.5,ENSG00000117318.9,ENSG00000132646.11,ENSG00000155657.29
Myotube	ENSG00000122180.5,ENSG00000133055.10,ENSG00000155657.29,ENSG00000109063.15
Pericyte	ENSG00000076706.17,ENSG00000163286.9,ENSG00000113721.14,ENSG00000173546.7
Smooth muscle myoblast	ENSG00000085117.12,ENSG00000149294.18,ENSG00000009709.12
Stem cell	ENSG00000157404.17,ENSG00000159216.19,ENSG00000162692.12,ENSG00000111704.11,ENSG00000174059.17,ENSG00000143632.15,ENSG00000010278.15,ENSG00000121966.8,ENSG00000007062.12,ENSG00000173546.7,ENSG00000128052.10,ENSG00000183963.19,ENSG00000026508.21,ENSG00000009709.12,ENSG00000154096.14,ENSG00000149294.18,ENSG00000196371.4
CD103-positive dendritic cell	ENSG00000197992.7
CD11b-positive dendritic cell	ENSG00000179639.11
Langerhans cell	ENSG00000116031.9
Macrophage	ENSG00000155659.15,ENSG00000173369.18,ENSG00000159189.13
Monocyte	ENSG00000038427.16,ENSG00000143546.10,ENSG00000163221.9
