AT1	ENSG00000164687.11,ENSG00000049759.20
AT2	ENSG00000104267.10,ENSG00000170890.14
Aberrant Basaloid	ENSG00000108602.18,ENSG00000096696.17
B	ENSG00000184292.7,ENSG00000165272.16
Basal	ENSG00000182782.8,ENSG00000096696.17
Ciliated	ENSG00000174898.16,ENSG00000257057.3
DC Langerhans	ENSG00000189334.9,ENSG00000170786.13
Fibroblast	ENSG00000168079.17,ENSG00000163710.9
Goblet	ENSG00000049759.20,ENSG00000143153.14
ILC A	ENSG00000100453.14,ENSG00000244512.3
ILC B	ENSG00000288039.1,ENSG00000233021.2
Lymphatic	ENSG00000184203.8,ENSG00000249751.4
Mesothelial	ENSG00000204388.7,ENSG00000197614.11
Myofibroblast	ENSG00000136546.17,ENSG00000000971.17
NK	ENSG00000214063.12,ENSG00000111817.19
Pericytes	ENSG00000122786.20,ENSG00000112936.21
SMC	ENSG00000241644.2,ENSG00000107796.14
VE Capillary A	ENSG00000204525.18,ENSG00000127920.6
VE Capillary B	ENSG00000034510.6,ENSG00000204592.9
cDC1	ENSG00000066405.13,ENSG00000104267.10
